-140,-124,-144,-124,-116,-116,-132,-139.822,-144,-127.467,-127.822,-139.822,-115.467,-143.111,-127.2,-134.844,-118.578,-125.778,-118.133,-137.422,-128.711,-139.378,-126.578,-123.289,-122.133,-116.444,-130.044,-125.511,-115.467,-125.511,-124.8,-98.3111,-114.489,-101.956,-83.0222,-89.6,-83.0222,-91.3778,-99.8222,-106.311,-50.9333,-72.7111,-76.8,-51.9111,-61.1556,-55.1111,-31.3778,-38.8444,-63.2,-41.4222,
-140,-132,-128,-120,-128,-120,-124,-132,-128,-135.822,-104,-131.644,-138.933,-107.822,-150.844,-114.933,-131.289,-130.489,-110.133,-120.356,-125.956,-124.356,-132.8,-127.733,-124.533,-129.333,-126.933,-111.111,-130.133,-119.733,-103.289,-100.089,-99.5556,-110.222,-106.933,-93.6889,-94.4,-94.7556,-82.3111,-90.6667,-82.9333,-72.8,-53.4222,-79.8222,-56.4444,-73.8667,-75.2889,-37.6889,-72.6222,-63.2,
-148,-124,-128,-132,-136,-132,-112,-108,-140,-132,-115.822,-119.556,-127.111,-131.644,-131.111,-111.289,-138.489,-114.756,-130.578,-141.956,-132.533,-125.156,-135.378,-130.044,-119.556,-113.156,-127.733,-110.756,-128.889,-112.622,-108.533,-112,-103.378,-112.533,-107.289,-116.622,-84.9778,-65.1556,-75.1111,-105.156,-73.2444,-70.4889,-61.8667,-74.3111,-64,-46.3111,-84.8889,-49.6,-64.0889,-62.8444,
-140,-120,-124,-120,-132,-140,-136,-127.822,-116,-123.822,-123.822,-116,-135.822,-127.111,-111.467,-114.844,-118.578,-126.489,-117.689,-126.311,-104.533,-133.067,-106.311,-122.667,-106.933,-111.111,-120,-121.6,-117.156,-107.467,-87.3778,-124.178,-108.444,-97.6889,-100.8,-80.3556,-83.7333,-97.6889,-91.0222,-85.4222,-85.0667,-35.1111,-80.3556,-75.7333,-58.5778,-73.7778,-42.7556,-56.4444,-57.9556,-32.3556,
-124,-124,-116,-128,-136,-120,-108,-124,-132,-120,-144,-119.822,-139.644,-123.467,-130.756,-119.289,-139.2,-125.333,-126.933,-109.689,-132.444,-110.844,-138.222,-123.378,-121.6,-90.7556,-135.733,-136.356,-116.533,-129.067,-112.889,-101.867,-106.933,-109.778,-97.2444,-93.9556,-85.5111,-84.7111,-69.2444,-90.6667,-89.8667,-76.9778,-78.9333,-64.7111,-46.4889,-74.4889,-53.8667,-36.6222,-16.7111,-43.8222,
-124,-144,-136,-128,-132,-136,-132,-103.822,-127.822,-116,-120,-119.644,-147.644,-139.289,-139.2,-123.111,-122.489,-131.111,-114.222,-124.178,-108.444,-117.422,-119.733,-123.911,-122.133,-127.733,-110.489,-115.911,-107.911,-114.933,-112.978,-100.267,-114.489,-111.467,-92.1778,-103.022,-87.3778,-77.6,-81.7778,-83.4667,-70.4889,-77.8667,-80.8,-72.8889,-71.7333,-44.5333,-59.9111,-58.7556,-35.6444,-71.9111,
-116,-124,-120,-124,-132,-116,-132,-131.822,-116,-143.467,-108,-115.644,-107.644,-118.844,-126.756,-143.467,-129.956,-118.133,-138.044,-129.156,-136.444,-135.556,-134.844,-120.711,-144.533,-132.178,-104.178,-86.4,-118.578,-100.267,-102.222,-109.422,-125.689,-114.311,-110.489,-113.511,-112.622,-105.422,-72.2667,-79.8222,-48.4444,-71.3778,-69.1556,-79.6444,-63.3778,-59.1111,-64.3556,-70.2222,-68,-52.2667,
-116,-132,-120,-132,-136,-124,-124,-123.822,-143.822,-116,-123.644,-136,-115.644,-139.111,-130.844,-111.644,-146.4,-137.867,-114.489,-129.156,-134.044,-117.156,-126.044,-134.489,-96,-124.444,-124.533,-129.511,-120,-100.622,-97.9556,-111.822,-98.9333,-118.222,-107.2,-103.289,-107.556,-90.4,-82.9333,-66.2222,-90.4,-60.1778,-66.9333,-74.8444,-82.0444,-56.7111,-64.2667,-74.1333,-59.0222,-72.6222,
-128,-124,-128,-128,-148,-132,-115.822,-144,-112,-143.822,-131.822,-131.822,-135.644,-131.644,-119.644,-127.467,-118.133,-129.244,-137.956,-121.511,-129.511,-111.2,-127.378,-127.289,-126.133,-125.511,-119.378,-128.356,-112.889,-121.422,-127.289,-111.822,-83.2,-105.156,-90.3111,-99.8222,-90.8444,-95.9111,-81.5111,-88.3556,-73.2444,-53.0667,-82.7556,-58.3111,-40.3556,-57.0667,-32.0889,-57.3333,-45.5111,-52.8,
-116,-136,-120,-140,-136,-120,-100,-132,-123.822,-132,-128,-127.289,-119.644,-123.467,-138.933,-102.578,-134.933,-126.222,-117.6,-120.8,-121.511,-104.622,-129.6,-123.467,-130.4,-106.933,-127.2,-118.133,-109.689,-97.4222,-122.756,-119.556,-128.978,-106.844,-107.822,-96.5333,-91.2,-97.7778,-67.4667,-91.3778,-98.0444,-72.1778,-67.4667,-82.9333,-47.3778,-83.1111,-59.4667,-60,-38.6667,-55.9111,
